Trend
0
-2
0
-2
0
-1
1
0
-1
2
-2
1
0
0
-2
4
-2
2
-1
-2
1
1
-2
-2
0
2
2
2
3
2
6
5
5
4
9
8
8
11
12
7
13
10
8
12
11
11
15
15
14
11
13
12
11
14
8
13
11
11
11
11
10
9
9
7
8
4
7
8
3
4
4
5
-2
-8
-11
-6
-10
-7
-5
-8
-10
-8
-8
-11
-11
-6
-6
-4
-9
-8
-8
-11
-15
-18
-20
-23
-24
-21
-20
-22
-23
-21
-21
-18
-15
-16
-12
-11
-7
-3
1
2
7
7
7
9
11
11
15
15
16
16
16
12
13
9
8
7
5
3
1
-3
-2
-4
-8
-9
-9
-10
-6
-6
-4
-3
-5
-4
-1
-2
-4
6
2
8
9
7
9
12
9
11
12
11
13
12
10
9
11
7
5
2
0
-3
-5
-6
-4
-8
-5
-2
-1
1
3
4
9
9
8
12
15
11
17
12
13
12
11
12
13
11
11
7
7
2
3
-3
-3
-3
-10
-11
-11
-10
-13
-10
-10
-5
-2
-4
-3
-4
-7
-4
-1
1
-2
-1
-6
-1
-6
-5
-7
-2
-7
0
2
5
4
1
-1
8
4
6
9
7
5
5
3
6
6
3
-1
-3
-2
-1
2
0
2
2
2
6
4
7
8
13
9
16
14
13
15
13
14
17
12
16
16
17
15
16
13
14
11
7
11
8
7
6
8
2
6
2
-1
-1
-9
-13
-24
-34
-36
-43
-45
-42
-40
-35
-31
-21
-19
-14
-10
-6
-5
-2
2
10
11
9
13
13
13
14
14
18
20
20
20
18
13
13
5
1
1
-2
-4
-3
-1
-1
-2
-5
-8
-10
-13
-13
-14
-19
-12
-12
-12
-8
-9
-13
-8
-8
-6
-3
-3
-1
6
4
5
7
8
6
6
4
3
4
2
3
4
2
4
3
3
6
5
1
6
3
5
6
6
5
5
2
3
2
5
3
6
-1
5
6
2
11
9
11
10
15
10
13
12
12
15
16
17
19
18
18
15
11
12
11
12
10
10
9
10
7
2
7
5
2
-1
3
-6
0
-4
-1
-3
-6
-6
-1
-3
-29
-47
-37
-23
-11
-9
3
2
